dish_name,level1_standard_name,level2_standard_name
chickn tikka msla,Chicken Tikka Masala,Indian
mrgah pizza,Margherita Pizza,Pizza
suhsi slmon roll,Salmon Sushi Roll,Sushi
beef bgr dbl chz,double cheese beef burger,burger
fries w/ kechp,Fries with Ketchup,Sides
past bolgnese,Pasta Bolognese,Pasta
pneapple piz,Pineapple Pizza,Pizza
thay grn cury,Thai Green Curry,Thai
nachos xl w/jlps,Nachos XL with Jalapeños,Mexican
briyn veg,Vegetable Biryani,Indian
spgeti carb,Spaghetti Carbonara,Pasta
frid chcinese rn,Fried Chinese Rice,Chinese
phily stk sandw,Philly Steak Sandwich,Sandwich
tacos al pstor,Tacos al Pastor,Tacos
pavbhaji specal,Pav Bhaji Special,Indian
dosa mysr pln,Mysore Plain Dosa,Indian
pad thia chkn,Pad Thai Chicken,Thai
shwama lamb wrap,Lamb Shawarma Wrap,Wrap
biryn mutton xtra sicy,Mutton Biryani (Extra Spicy),Indian
mex brto bow,Mexican Burrito Bowl,Mexican
