dish_name,description
Margherita Pizza,"Classic Italian pizza with tomato sauce, mozzarela cheese, and basl.  🍕"
Chicken Biryani,"Aromatic rice dish with tender ckn, saffron, and mixed spicess."
Pad Thai,"Stir-fried rice noodles with shrimps tofu, bean sprout, eggs & crushed peanutts."
Caesar Salad,"Fresh romaine lettace, croutons, parmsean cheese & a tangy dressing."
Sushi Platter,"Assorted sushi rolls, includng tuna, salmon, avocado, and sesame seeds. 🍣"
Butter Chicken,"Creamy tomato-based curry with juicy chiken, best served with naan or rice."
Veggie Burger,"Grilled vegetabls patty with letuce, tomato, and a spicy mayo."
Pasta Alfredo,"Italian white sauce pasta with creamy parmesan, garlic, and chickn or shrimp."
Tacos Al Pastor,"Mexican tacos with marinated pork, pineaple, onions, and cilantro. 🌮"
Miso Soup,"Traditional Japanse soup with miso paste, seaweed, tofu, and grn onions."
Paneer Tikka,Grilled cotage cheese cubes marinated in spicy yogurt and served with mint chutney.
Ramen Bowl,"Japanese noodle soup with pork, soft-boiled egg, seawead, and broth flavrs."
Chow Mein,"Stir-fry noodles with cabbage, bell pepers, and soy sauce, servd hot."
BBQ Ribs,Slow-cooked pork ribs glazed with BBQ sauce and servd with colslaw.
Falafel Wrap,"Middle Eastn wrap with deep-fried chickpea balls, tahini sauce, and fresh veggies."
Greek Salad,"Feta chees, olives, cucmber, tomatoes, onion, & oregano dressing."
Samosa,Crispy fried pstry filled with spiced potaoes and peas.
Fish and Chips,Deep-fried cod fillet with crispy potato fries & tartar sause.
Shawarma,Slow-roasted meat wrapped in pita with garic sauce and pickls.
Lasagna,"Layered pasta dish with meat sace, cheese, and bechmel sauce."
